 x 1611 y 2008 x2 2174 y2 1360
 x 1584 y 2228 x2 1899 y2 2646
 x 1999 y 1483 x2 2041 y2 1640
 x 1803 y 3183 x2 2045 y2 3065
 x 1801 y 1324 x2 2054 y2 1595
 x 1837 y 1080 x2 2188 y2 729
 x 1821 y 3390 x2 1840 y2 3177
 x 1600 y 2287 x2 1633 y2 1907
 x 2037 y 800 x2 2058 y2 1042
 x 2212 y 1595 x2 2625 y2 1461
 x 2131 y 2013 x2 2195 y2 2252
 x 2139 y 2017 x2 2155 y2 2144
 x 1773 y 1849 x2 2121 y2 1271
 x 2113 y 811 x2 2142 y2 740
 x 1643 y 1894 x2 2161 y2 1571
 x 1848 y 1057 x2 1858 y2 1150
 x 2067 y 779 x2 2120 y2 1028
 x 2482 y 3207 x2 2532 y2 3518
 x 1945 y 1471 x2 2004 y2 1389
 x 2405 y 726 x2 2689 y2 841
 x 360 y 1083 x2 536 y2 1271
 x 539 y 1274 x2 631 y2 1317
 x 1676 y 1804 x2 2012 y2 1560
 x 1930 y 1659 x2 1997 y2 1389
 x 1984 y 1687 x2 2032 y2 1587
 x 1806 y 1334 x2 1899 y2 930
 x 1795 y 1312 x2 2138 y2 1655
 x 1811 y 1900 x2 2099 y2 1015
 x 1866 y 1127 x2 1866 y2 1034
 x 1881 y 986 x2 2521 y2 1806
 x 2519 y 3524 x2 2524 y2 3435
 x 2068 y 778 x2 2225 y2 730
 x 2146 y 2018 x2 2214 y2 2272
 x 1804 y 1328 x2 1895 y2 932
 x 1585 y 2214 x2 2072 y2 2860
 x 1669 y 1818 x2 2155 y2 1559
 x 1893 y 929 x2 2287 y2 720
 x 2679 y 1414 x2 2783 y2 1247
 x 2142 y 791 x2 2165 y2 733
 x 1835 y 1092 x2 1869 y2 1414
 x 2749 y 473 x2 2751 y2 601
 x 2769 y 1277 x2 2797 y2 1013
 x 1722 y 1836 x2 1753 y2 1745
 x 1798 y 1318 x2 1885 y2 940
 x 2010 y 824 x2 2023 y2 945
 x 1598 y 2126 x2 1752 y2 1744
 x 2123 y 1274 x2 2157 y2 1596
 x 2357 y 1608 x2 2551 y2 1414
 x 2092 y 3581 x2 2296 y2 3617
 x 1599 y 2222 x2 1644 y2 2340
 x 1760 y 3014 x2 1787 y2 3267
 x 1830 y 2917 x2 1848 y2 2752
 x 1993 y 1554 x2 2327 y2 1595
 x 1845 y 3436 x2 2306 y2 3613
 x 2008 y 826 x2 2191 y2 729
 x 1777 y 1860 x2 1992 y2 1529
 x 2473 y 3215 x2 2649 y2 3184
 x 1594 y 2245 x2 1885 y2 2677
 x 2196 y 2106 x2 2199 y2 2256
 x 1698 y 2372 x2 1722 y2 2438
 x 1970 y 1678 x2 2047 y2 792
 x 1788 y 3270 x2 1894 y2 3461
 x 1955 y 2576 x2 2295 y2 2861
 x 2081 y 3574 x2 2359 y2 3608
 x 396 y 1156 x2 640 y2 1302
 x 1808 y 1887 x2 2000 y2 1540
 x 2129 y 2433 x2 2136 y2 2017
 x 2030 y 803 x2 2132 y2 1013
 x 2129 y 2012 x2 2193 y2 2249
 x 1777 y 1854 x2 1903 y2 1660
 x 2464 y 1427 x2 2514 y2 1489
 x 1577 y 2136 x2 1611 y2 2298
 x 2299 y 717 x2 2594 y2 801
 x 2545 y 3418 x2 2555 y2 3495
 x 2074 y 772 x2 2087 y2 1035
 x 2461 y 3295 x2 2530 y2 3520
 x 1800 y 1322 x2 1921 y2 901
 x 1915 y 916 x2 2341 y2 923
 x 2281 y 1090 x2 2406 y2 727
 x 2556 y 2314 x2 2592 y2 2128
 x 1893 y 930 x2 2376 y2 888
 x 2038 y 2962 x2 2092 y2 3580
 x 2217 y 2803 x2 2276 y2 2902
 x 2018 y 1580 x2 2276 y2 1585
 x 803 y 1331 x2 1207 y2 1303
 x 1813 y 1344 x2 2135 y2 1655
 x 2142 y 2125 x2 2158 y2 2037
 x 1812 y 3373 x2 1843 y2 3177
 x 2406 y 3590 x2 2537 y2 3514
 x 1762 y 1710 x2 1801 y2 1895
 x 2006 y 1653 x2 2023 y2 1561
 x 2016 y 866 x2 2063 y2 1042
 x 2450 y 1400 x2 2676 y2 1416
 x 1868 y 999 x2 1874 y2 1125
 x 1848 y 1386 x2 2329 y2 724
 x 1793 y 1885 x2 1843 y2 1684
 x 1001 y 1277 x2 1147 y2 1339
 x 2510 y 1012 x2 2518 y2 770
 x 1743 y 1713 x2 2203 y2 1572
 x 2259 y 729 x2 2474 y2 744
 x 2029 y 804 x2 2054 y2 1042
 x 2545 y 3505 x2 2547 y2 3439
 x 2460 y 1715 x2 2556 y2 1888
 x 363 y 1098 x2 733 y2 1320
 x 1636 y 1898 x2 2161 y2 1570
 x 2013 y 2576 x2 2276 y2 2890
 x 1604 y 2278 x2 1918 y2 2615
 x 2008 y 827 x2 2258 y2 726
 x 2473 y 1443 x2 2597 y2 1474
 x 1950 y 918 x2 2202 y2 729
 x 2135 y 2297 x2 2164 y2 2064
